a,b,c,d,e,f,g,h,i,j,k,l,m
185402,136962,487776,43.09679544,-76.16656034,43.062737,-76.14632,137784,31860,43.44356306,-76.50900293,43.464602,-76.497683
187877,148591,7467371,35.47990245,-80.47440151,35.786011,-78.680179,146427,31813,35.6797463,-81.99882838,35.669877,-82.02363
107997,123991,52375,40.42402665,-74.20733757,40.422656,-74.168435,123968,31791,40.43503553,-74.1286006,40.451443,-74.13959
210745,136032,221806590,37.35974597,-83.52605204,40.781545,-73.94959,76337,31778,41.01671344,-92.4201561,40.991729,-92.410164
137728,94743,2409064,42.35327195,-71.09294007,42.336346,-71.081034,93861,31745,42.13953026,-71.12419626,42.148264,-71.154753
21654,30322,53706,37.33169951,-121.8366312,37.339847,-121.835968,30363,31711,37.35702394,-121.8510227,37.362779,-121.845216
80479,184114,763237,29.44787854,-98.56945484,29.436877,-98.519092,184572,31693,29.54443806,-98.51398923,29.546579,-98.520507
3366,128210,35745,40.82376159,-73.89689274,40.822894,-73.891077,128151,31679,40.81508842,-73.90404649,40.814274,-73.90139
135096,156527,418228,39.73587363,-84.17303811,39.743122,-84.156442,153669,31667,39.79735217,-84.0257022,39.794362,-84.032483
50733,136962,31835,43.06672332,-76.14606318,43.062737,-76.14632,137017,31657,43.0351834,-76.13509735,43.037774,-76.132098
158956,92176,440601,42.12050581,-72.57341985,42.093001,-72.56013,92328,31642,42.11911025,-72.75673167,42.123287,-72.74022
82947,48362,63621,28.48738661,-81.42151774,28.48217,-81.404735,48230,31640,28.51976366,-81.46233315,28.510862,-81.471939
175081,136032,45786349,40.6388649,-74.2302654,40.781545,-73.94959,40048,31631,39.44396615,-75.69216939,39.456565,-75.727754
89546,25088,1146330,38.57244312,-121.4030841,38.461221,-121.386811,23118,31620,38.75650027,-121.3198273,38.754653,-121.31762
4686,132510,41185,40.60659985,-73.97993286,40.610784,-73.980724,132040,31619,40.60975988,-73.9947044,40.613639,-73.998224
198541,136032,133546722,39.63821087,-79.68886644,40.781545,-73.94959,153772,31617,40.00422389,-81.59552046,40.033923,-81.584118
130077,15244,14766001,33.97989524,-118.0565263,34.066842,-118.301495,19896,31594,34.16388383,-118.7695228,34.15061,-118.772755
57723,15244,9981965,33.97033368,-118.1841395,34.066842,-118.301495,17117,31592,33.98344071,-117.8942211,33.983939,-117.902308
122130,186293,4666856,32.84543363,-96.93977753,32.809842,-96.778457,195511,31577,32.91946837,-96.52589079,32.906158,-96.511299
159934,94743,3505153,42.40713529,-71.13642477,42.336346,-71.081034,91067,31549,42.0461213,-71.21454139,42.030261,-71.214632
110533,83757,35519,30.23040525,-92.01742937,30.222019,-92.003911,83769,31537,30.20059729,-92.06435488,30.208989,-92.064633
162418,183521,184969,31.09763424,-97.72972033,31.105509,-97.759233,186204,31506,31.1222673,-97.90707146,31.114441,-97.89261
213516,193819,315481,33.54481576,-101.926763,33.579083,-101.876684,190016,31445,34.18118149,-101.7311415,34.1956,-101.730187
212954,136032,225842054,37.35486922,-83.64198048,40.781545,-73.94959,104848,31434,45.89759844,-95.35322421,45.878179,-95.349818
195288,49885,16931798,27.58973487,-81.29011717,27.783201,-82.632914,48068,31405,27.23553255,-80.81977404,27.247154,-80.841372
192000,136032,111978279,39.90144409,-79.20121449,40.781545,-73.94959,201931,31400,38.48101485,-78.01794325,38.478613,-78.021462
51605,46841,1858778,25.84696701,-80.27260851,25.768037,-80.212837,47164,31379,25.69616774,-80.36829352,25.689795,-80.376234
168842,30322,10105692,37.87371827,-121.9030758,37.339847,-121.835968,31796,31335,38.3019826,-122.4753832,38.30838,-122.489696
200340,81316,105983,37.02621595,-88.57158533,37.075086,-88.635865,79319,31325,36.6196797,-88.31567447,36.627619,-88.32729
7739,136032,6274408,40.73903444,-73.935437,40.781545,-73.94959,129098,31319,40.87503537,-73.82984381,40.876378,-73.830618
12186,22226,33775,33.73977956,-117.8738153,33.735989,-117.879436,22234,31272,33.7531279,-117.867195,33.755919,-117.871271
201593,136032,160260150,38.27267475,-80.20606615,40.781545,-73.94959,153576,31250,38.83871686,-82.19345898,38.810677,-82.206479
176831,136032,46852275,40.63529664,-74.22804659,40.781545,-73.94959,175219,31249,41.37451615,-71.81964496,41.3665,-71.82596
117849,49310,35689,26.66306891,-80.24391105,26.652486,-80.24479,49337,31245,26.70654205,-80.22662451,26.697154,-80.213591
121696,186293,4613573,32.84827183,-96.94127147,32.809842,-96.778457,187450,31219,32.60806541,-96.78573046,32.607778,-96.785592
97537,60041,4860198,41.87112041,-87.75563595,41.997296,-87.65714,64579,31207,41.73415782,-88.11996593,41.729398,-88.135431
15699,18098,322499,33.96307041,-118.2041094,33.993859,-118.193601,18079,31187,33.97104638,-118.2526913,33.977587,-118.242242
79837,202469,84165,38.97770001,-77.40091897,38.948885,-77.399966,202508,31158,38.96887251,-77.349482,38.966565,-77.338413
36587,118004,128259,36.18338602,-115.1017118,36.205145,-115.108802,118089,31125,36.15323878,-115.0453197,36.155959,-115.041192
78969,35430,73598,38.90707225,-104.7509491,38.906846,-104.771064,35445,31114,38.90853101,-104.7010612,38.92541,-104.706147
19983,19282,218845,33.93642742,-118.3483858,33.935331,-118.345581,19494,31032,33.87384535,-118.3659755,33.870725,-118.37629
171529,164791,1738687,40.43730409,-79.96617487,40.439808,-79.95479,174086,30985,40.31154202,-79.36342889,40.314562,-79.373982
218270,115470,166125,45.75311645,-108.6006226,45.780303,-108.532948,217628,30984,44.66155801,-108.8424367,44.525446,-109.06088
160479,219631,3218927,18.30040991,-66.33083412,18.449196,-66.040989,218601,30960,18.07247643,-66.36029529,18.077598,-66.366854
134242,191242,4326664,29.77020953,-95.44889964,29.715277,-95.491289,189496,30955,29.4616296,-95.06243447,29.467956,-95.044209
51431,23659,80103,33.92864225,-117.2447517,33.925389,-117.248867,24202,30897,33.89711992,-117.2123092,33.886636,-117.20971
104938,146580,152969,35.20850821,-80.76303135,35.1934,-80.721041,146714,30897,35.18756196,-80.85278696,35.203745,-80.842745
216702,136032,300806727,37.43890758,-91.43107992,40.781545,-73.94959,217707,30896,43.55242004,-110.9018427,43.476065,-110.754785
195039,136032,125738813,39.76011897,-79.54798466,40.781545,-73.94959,66113,30895,41.34506102,-88.81026025,41.349447,-88.851197
194630,8530,86016,35.83793547,-90.69353675,35.831942,-90.729365,8895,30879,36.05647831,-90.51035281,36.058048,-90.497522
198682,136032,133777279,39.63913199,-79.69416723,40.781545,-73.94959,201131,30879,43.32813392,-72.41388503,43.311416,-72.485093
187578,136775,206204,43.1071795,-75.27067329,43.082994,-75.235857,133584,30841,43.08120786,-75.65243918,43.091563,-75.655601
57911,40333,1447240,38.91768281,-77.03249194,38.929186,-77.039296,88815,30811,39.0417802,-77.1132453,39.032867,-77.116601
99148,136032,13558553,40.73711551,-73.93227394,40.781545,-73.94959,120870,30811,40.9903055,-74.0407577,40.990573,-74.039177
183034,171781,34655,40.85170237,-76.82153541,40.868919,-76.784328,173572,30809,40.98564164,-76.87239349,40.958333,-76.883313
116432,90225,1362396,39.31844142,-76.62373884,39.311695,-76.642179,87046,30804,39.14154216,-76.53322562,39.13741,-76.546664
212374,136032,224783215,37.35689834,-83.60546107,40.781545,-73.94959,77720,30797,38.41813066,-96.18543362,38.41062,-96.184267
25306,14531,65115,34.20164713,-118.5767988,34.207092,-118.57756,14087,30790,34.22244722,-118.5989302,34.230333,-118.591369
32063,17311,261426,34.06407856,-117.9938219,34.058685,-118.035405,17054,30786,34.01385566,-117.9096612,34.014669,-117.915664
26261,90225,207145,39.29567952,-76.61689537,39.311695,-76.642179,90198,30763,39.3275079,-76.61138176,39.329451,-76.616833
58696,136032,11767175,40.74195008,-73.9376102,40.781545,-73.94959,134454,30739,40.75799983,-73.57805185,40.761349,-73.569523
36746,46279,91843,25.9614231,-80.1299397,25.947161,-80.138803,47360,30733,25.93991902,-80.16634483,25.953019,-80.171943
159421,1723,40897,34.83035756,-87.67121345,34.807018,-87.679056,517,30710,34.74254163,-87.68057198,34.752651,-87.64337
14038,171995,408755,39.94656502,-75.19191532,39.916569,-75.159038,173112,30673,39.98475531,-75.16158289,39.983766,-75.154958
119432,80461,582188,38.20570552,-85.70178828,38.228209,-85.758344,70195,30657,38.30702903,-85.81756694,38.289847,-85.811248
184922,151428,5915804,40.9514005,-80.89037417,41.483619,-81.593708,150084,30644,41.86984934,-80.79610974,41.856017,-80.78974
207914,136032,215487402,37.41248206,-83.33660862,40.781545,-73.94959,64738,30637,39.10423987,-88.57141291,39.128195,-88.550895
