a,b,c,d,e,f,g,h,pop,j,k,l,m
83,131911,21651505,22.59437405,114.026985,22.625,114.125,131393,1863556,22.875,114.125,22.875,114.125
84,138048,17664522,19.44586814,-99.10226896,19.375,-99.125,137573,1327940,19.625,-98.875,19.625,-98.875
85,138858,19628524,19.18017944,72.90180436,19.125,72.875,138384,1394364,19.375,73.125,19.375,73.125
86,131911,23515061,22.6166135,114.0347527,22.625,114.125,131912,1069970,22.625,114.375,22.625,114.375
87,177333,29965808,-6.237212801,106.8125334,-6.125,106.875,178064,2483039,-6.625,106.875,-6.625,106.875
88,201534,17889432,-23.5828378,-46.62397507,-23.625,-46.625,201210,1663924,-23.375,-46.375,-23.375,-46.375
89,45325,4341996,55.625,37.625,55.625,37.625,45326,2055991,55.625,37.875,55.625,37.875
90,96815,19843673,37.4928791,126.9633498,37.625,127.125,96813,1422715,37.625,126.625,37.625,126.625
91,138858,21022888,19.19310111,72.91660803,19.125,72.875,139338,1761673,18.875,72.875,18.875,72.875
92,104003,3685912,34.625,135.625,34.625,135.625,104002,2298008,34.625,135.375,34.625,135.375
93,101639,29031681,35.66261932,139.6273546,35.625,139.625,101641,1703326,35.625,140.125,35.625,140.125
94,130876,14695505,23.125,113.3120509,23.125,113.375,131390,2370175,22.875,113.375,22.875,113.375
95,130876,17065680,23.09027863,113.3207936,23.125,113.375,131389,2567601,22.875,113.125,22.875,113.125
96,114752,20444048,30.06523732,31.25418652,30.125,31.375,114112,2124067,30.375,31.125,30.375,31.125
97,114752,22568115,30.09439158,31.24202774,30.125,31.375,114113,1771850,30.375,31.375,30.375,31.375
98,111674,3040792,31.375,74.375,31.375,74.375,111673,2669961,31.375,74.125,31.375,74.125
99,131911,24585031,22.61697849,114.0495607,22.625,114.125,131391,1797476,22.875,113.625,22.875,113.625
100,131911,26382507,22.63455785,114.0206348,22.625,114.125,130876,19633281,23.06212493,113.2951881,23.125,113.375
101,131911,46015788,22.81698534,113.7111128,22.625,114.125,130878,2538590,23.125,113.875,23.125,113.875
102,177333,32448847,-6.266886914,106.8173135,-6.125,106.875,178063,1563478,-6.625,106.625,-6.625,106.625
103,134953,4963212,21.125,72.625,21.125,72.625,134954,1560761,21.125,72.875,21.125,72.875
105,146835,19742385,14.53653273,121.0331639,14.625,121.125,146448,2005023,14.875,121.125,14.875,121.125
106,146835,21747408,14.56773804,121.0416308,14.625,121.125,146447,1913224,14.875,120.875,14.875,120.875
107,126738,2858022,25.125,121.625,25.125,121.625,126737,2659209,25.125,121.375,25.125,121.375
108,152365,10828830,10.875,106.682632,10.875,106.625,152764,2290869,10.625,106.625,10.625,106.625
109,131808,22308852,22.58460596,88.34396321,22.625,88.375,132328,1209653,22.375,88.625,22.375,88.625
110,200527,8120341,-22.875,-43.28566068,-22.875,-43.375,200526,1371505,-22.875,-43.625,-22.875,-43.625
111,109945,4272042,32.125,118.875,32.125,118.875,109944,1666255,32.125,118.625,32.125,118.625
112,44703,3818785,55.875,37.625,55.875,37.625,44702,1844018,55.875,37.375,55.875,37.375
113,45325,6397987,55.625,37.70533742,55.625,37.625,44703,5662803,55.875,37.54359076,55.875,37.625
114,45325,12060790,55.74238043,37.62939385,55.625,37.625,45324,1376012,55.625,37.375,55.625,37.375
115,45325,13436802,55.73035995,37.60334234,55.625,37.625,44704,1359673,55.875,37.875,55.875,37.875
116,166130,5490262,1.375,103.875,1.375,103.875,166129,1275457,1.375,103.625,1.375,103.625
117,91332,19787000,39.91618695,116.3704016,39.875,116.375,90708,1195773,40.125,116.625,40.125,116.625
118,64777,7420747,48.875,2.316716952,48.875,2.375,64778,1179512,48.875,2.625,48.875,2.625
120,158848,10201876,6.625,3.351885501,6.625,3.375,159221,2246490,6.375,3.375,6.375,3.375
121,89021,3901456,40.625,-73.875,40.625,-73.875,89020,1707591,40.625,-74.125,40.625,-74.125
123,112517,27222084,31.23482623,121.4124616,31.125,121.375,113171,1537617,30.875,121.375,30.875,121.375
124,149052,7019087,13.125,80.19453871,13.125,80.125,149405,3062298,12.875,80.125,12.875,80.125
126,129247,28062999,23.79991631,90.39206062,23.875,90.375,128726,1178939,24.125,90.625,24.125,90.625
127,177333,34012325,-6.28334865,106.8084732,-6.125,106.875,177698,1048585,-6.375,106.375,-6.375,106.375
