b.censusTracts,=,,,,
,-97.410382,25.888896,11923],,
,-80.362178,25.888956,6186],,
,-80.329774,25.889768,4056],,
,-80.315285,25.889875,7435],,
,-80.234525,25.890055,6102],,
,-80.353772,25.890846,6441],,
,-80.177684,25.890855,4643],,
,-80.124384,25.89142,2513],,
,-80.190178,25.891988,5420],,
,-80.198738,25.892904,5392],,
,-80.166079,25.893142,3206],,
,-97.458609,25.893269,2215],,
,-80.302161,25.893924,6696],,
,-80.343591,25.893952,5170],,
,-80.219029,25.894471,4385],,
,-80.206061,25.894812,4786],,
,-97.452851,25.895263,2912],,
,-80.154699,25.896338,4289],,
,-80.177974,25.897473,4713],,
,-80.24891,25.89816,6782],,
,-97.443747,25.89892,5273],,
,-97.500212,25.898921,2519],,
,-97.462578,25.900599,4671],,
,-97.486491,25.901558,3266],,
,-80.181154,25.903923,3431],,
,-80.220636,25.904279,4825],,
,-80.155225,25.904283,4086],,
,-97.473582,25.904908,4146],,
,-80.312973,25.905358,5252],,
,-80.191233,25.905865,7808],,
,-80.167755,25.906163,6695],,
,-97.422494,25.906189,10],,
,-80.341484,25.906731,7895],,
,-80.236331,25.907001,6336],,
,-97.504475,25.907102,2642],,
,-97.493158,25.907216,2784],,
,-80.252692,25.908934,4370],,
,-80.27219,25.909349,3],,
,-97.480442,25.909674,2230],,
,-80.204984,25.910363,2473],,
,-97.466405,25.910591,2791],,
,-80.176281,25.910681,5829],,
,-97.5098,25.911117,3923],,
,-97.451314,25.911134,4534],,
,-81.720567,25.914605,1530],,
,-80.306443,25.915421,5470],,
,-97.483594,25.915445,2476],,
,-80.218451,25.916727,4640],,
,-80.18527,25.918237,3706],,
,-97.500105,25.918764,2068],,
,-97.51674,25.919572,3311],,
,-80.262543,25.920293,7578],,
,-80.316776,25.92052,5332],,
,-80.167762,25.920743,5349],,
,-80.179586,25.921117,4100],,
,-80.237293,25.921313,3419],,
,-80.19719,25.922123,7527],,
,-80.336971,25.922724,7370],,
,-97.454304,25.922843,3986],,
,-97.434646,25.922995,2553],,
,-97.441409,25.923418,3666],,
,-80.123181,25.924531,2538],,
,-80.125159,25.925121,2347],,
,-97.426465,25.926669,3595],,
,-97.498276,25.927356,2647],,
,-81.706022,25.927571,4517],,
,-97.479064,25.928214,5075],,
,-80.14269,25.928805,2664],,
,-81.732677,25.929547,2018],,
,-97.41858,25.929783,4050],,
,-97.525306,25.931516,5380],,
,-80.2855,25.931948,7963],,
,-80.171469,25.931982,5941],,
,-80.157519,25.932128,4616],,
,-97.439344,25.932614,2236],,
,-80.125128,25.932643,3077],,
,-80.268646,25.933061,7643],,
,-80.317832,25.93321,15330],,
,-80.303853,25.933471,5276],,
,-80.253783,25.933497,6370],,
,-80.194575,25.933643,4655],,
,-80.333863,25.934344,5253],,
,-97.46013,25.934524,3905],,
,-80.120883,25.934603,1015],,
,-80.237735,25.934711,4613],,
,-80.22235,25.934764,4645],,
,-80.183637,25.935046,5049],,
,-80.13625,25.935227,3415],,
,-80.126735,25.935316,3852],,
,-97.480622,25.936633,3972],,
,-97.504535,25.937116,2242],,
,-97.514968,25.937423,4290],,
,-80.210867,25.937955,5232],,
,-80.168766,25.938112,6747],,
,-80.313974,25.938955,8418],,
,-80.123458,25.939042,2022],,
,-97.408793,25.94069,5621],,
,-80.135617,25.940902,2265],,
,-80.155561,25.941702,3149],,
,-80.343271,25.942059,9525],,
,-80.144744,25.943164,5622],,
,-97.495286,25.943326,4185],,
,-80.272183,25.943463,4693],,
,-80.286371,25.943747,4278],,
,-80.124363,25.944372,3761],,
,-81.729187,25.944523,2021],,
,-80.298142,25.945645,7176],,
,-80.25101,25.946519,6504],,
,-80.235315,25.947036,5247],,
,-81.708093,25.94707,3544],,
,-80.138803,25.947161,2378],,
,-97.428104,25.948232,2973],,
,-80.315957,25.948799,5370],,
,-80.168469,25.948827,4578],,
,-80.220014,25.950095,5283],,
,-80.198172,25.950197,6854],,
,-80.286907,25.950209,4919],,
,-80.174504,25.950289,3583],,
,-97.462151,25.95031,3662],,
,-80.332812,25.951045,6867],,
,-80.304762,25.952024,3693],,
,-80.135133,25.95213,6913],,
,-80.214007,25.952995,5546],,
,-80.270324,25.954122,7668],,
,-80.15768,25.954964,5656],,
,-97.477634,25.955502,8544],,
,-80.256784,25.955595,5336],,
,-80.288401,25.957017,3886],,
,-80.127645,25.957688,1555],,
,-80.122001,25.958151,3139],,
,-80.193053,25.958174,4926],,
,-97.541089,25.958193,6063],,
,-80.185463,25.958715,2631],,
,-97.529158,25.958921,15629],,
,-80.133932,25.959862,4332],,
,-80.177882,25.960895,3402],,
,-97.495624,25.961079,5192],,
,-80.320411,25.961822,10952],,
,-81.731087,25.963258,3050],,
,-80.238759,25.964217,3082],,
,-80.141719,25.96501,2806],,
,-80.193864,25.965407,6955],,
,-80.12693,25.965686,3699],,
,-80.25995,25.966765,6465],,
,-80.218099,25.96713,8862],,
,-80.341657,25.969128,5262],,
,-80.182353,25.969139,4896],,
,-80.15804,25.969862,3608],,
,-97.477739,25.970792,7644],,
,-80.130448,25.97106,6192],,
,-97.498693,25.976654,6488],,
,-80.221052,25.977543,5070],,
,-80.266298,25.977757,5912],,
,-80.237904,25.978167,4729],,
,-80.183374,25.978519,5204],,
,-80.197771,25.97872,7702],,
,-80.367999,25.978739,23101],,
,-80.163986,25.979286,3847],,
,-80.150452,25.979557,6053],,
,-80.209929,25.98033,3353],,
,-80.120856,25.981014,3098],,
,-80.128584,25.981227,3548],,
,-80.118702,25.981412,2900],,
,-80.39847,25.983015,15742],,
,-80.322053,25.985039,8371],,
,-80.223588,25.985579,3197],,
,-80.271293,25.987591,5488],,
,-80.298832,25.987967,10083],,
,-80.255129,25.98838,10159],,
,-97.485933,25.988403,12877],,
,-80.242733,25.988442,4992],,
,-80.144905,25.989035,1218],,
,-80.233286,25.989311,5796],,
,-80.171906,25.989949,936],,
,-80.191649,25.990299,5354],,
,-80.13774,25.991627,4986],,
,-80.216595,25.991637,5272],,
,-80.157601,25.991807,5167],,
,-80.125625,25.992741,6992],,
,-97.589855,25.993737,2756],,
,-80.117833,25.996801,6275],,
,-80.255317,25.998681,3427],,
,-80.304839,25.999456,7165],,
,-80.3312,25.99948,2323],,
,-80.320287,25.999545,7569],,
,-80.209838,25.99973,5595],,
,-80.385391,25.99996,4521],,
,-80.352263,26.000229,4484],,
,-80.287116,26.000458,6736],,
,-80.186372,26.000469,6008],,
,-80.368417,26.001033,3452],,
,-80.272447,26.001539,6407],,
,-80.224553,26.003165,6315],,
,-80.162961,26.003543,2805],,
,-80.13925,26.003631,3577],,
,-80.127489,26.003674,3843],,
,-80.153477,26.004513,5531],,
,-80.145355,26.005789,4642],,
,-80.199165,26.006693,3532],,
,-80.460152,26.006734,20],,
,-80.180189,26.006959,4329],,
,-80.288555,26.011393,3787],,
,-80.222996,26.013837,4630],,
,-80.425094,26.014003,6601],,
,-80.185076,26.014453,4082],,
,-80.257245,26.014477,7225],,
,-80.154653,26.015269,3271],,
,-80.144355,26.015536,2401],,
,-80.243894,26.015775,5496],,
